顾客ID,产品ID,产品名称,数量,价格,购买日期,总价
74,25,食品,9,99.0,2024-12-18,891
859,74,百货,1,93.0,2024-02-15,93
816,56,水果,8,29.0,2024-11-17,232
12,81,食品,3,34.0,2024-08-14,102
50,28,电器,6,45.0,2024-05-28,270
552,27,电器,4,71.0,2024-04-12,284
327,55,家具,5,89.0,2024-02-18,445
682,93,食品,1,83.0,2024-04-19,83
597,97,百货,4,24.0,2024-02-11,96
189,5,百货,6,79.0,2024-05-10,474
760,99,服装,4,12.0,2024-12-08,48
598,73,食品,4,78.0,2024-10-09,312
185,24,电器,10,88.0,2024-03-21,880
182,74,家具,2,69.0,2024-04-23,138
883,32,食品,10,83.0,2024-10-23,830
839,83,家具,2,74.0,2024-09-03,148
446,9,电器,3,79.0,2025-01-25,237
295,20,电器,2,35.0,2024-12-29,70
553,50,服装,1,64.0,2025-01-26,64
487,66,百货,7,63.0,2024-11-08,441
73,5,服装,6,13.0,2024-04-24,78
456,10,电器,5,4.0,2024-06-26,20
240,14,食品,4,30.0,2024-09-26,120
406,93,百货,1,3.0,2024-08-25,3
982,68,服装,3,66.0,2024-05-04,198
844,70,电器,8,72.0,2024-09-23,576
948,61,百货,8,69.0,2024-12-08,552
155,4,食品,6,5.0,2024-11-22,30
892,10,家具,4,67.0,2024-06-15,268
197,45,电器,2,36.0,2025-01-04,72
700,95,水果,5,63.0,2024-02-26,315
280,56,百货,10,74.0,2024-02-27,740
867,94,服装,5,98.0,2025-01-18,490
765,54,服装,10,50.0,2025-01-28,500
522,20,食品,9,34.0,2024-06-21,306
727,87,家具,2,97.0,2024-02-26,194
975,37,电器,8,96.0,2024-08-30,768
845,65,食品,6,86.0,2024-06-18,516
498,85,服装,3,36.0,2024-09-01,108
337,60,家具,2,68.0,2024-03-29,136
417,70,家具,6,64.0,2025-01-11,384
962,39,百货,5,83.0,2024-06-06,415
650,48,百货,5,30.0,2024-07-11,150
383,90,服装,3,65.0,2025-01-16,195
855,51,水果,10,13.0,2024-10-25,130
596,82,电器,1,69.0,2024-04-08,69
288,28,服装,6,65.0,2024-12-09,390
677,36,家具,7,85.0,2024-07-03,595
757,85,服装,6,26.0,2024-11-09,156
455,69,服装,8,4.0,2024-05-23,32
145,15,百货,8,89.0,2024-08-11,712
192,14,百货,9,66.0,2024-08-06,594
697,7,服装,8,20.0,2024-10-09,160
645,55,水果,10,98.0,2024-08-11,980
765,85,百货,4,86.0,2024-06-18,344
279,85,服装,1,17.0,2024-12-15,17
